"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","CK-07",1986,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1987,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1988,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1989,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1990,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1996,100,100,"DU6","Maria Slough_SU_0.3","Maria",100,100,NA,NA
"Chinook","CK-07",1997,100,100,"DU6","Maria Slough_SU_0.3","Maria",100,100,NA,NA
"Chinook","CK-07",1998,176,176,"DU6","Maria Slough_SU_0.3","Maria",176,176,NA,NA
"Chinook","CK-07",1999,220,220,"DU6","Maria Slough_SU_0.3","Maria",220,220,NA,NA
"Chinook","CK-07",2000,282,282,"DU6","Maria Slough_SU_0.3","Maria",282,282,NA,NA
"Chinook","CK-07",2001,422,422,"DU6","Maria Slough_SU_0.3","Maria",422,422,NA,NA
"Chinook","CK-07",2002,1115,1115,"DU6","Maria Slough_SU_0.3","Maria",1115,1115,NA,NA
"Chinook","CK-07",2003,805,805,"DU6","Maria Slough_SU_0.3","Maria",805,805,NA,NA
"Chinook","CK-07",2004,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",2005,497,497,"DU6","Maria Slough_SU_0.3","Maria",497,497,NA,NA
"Chinook","CK-07",2006,321,321,"DU6","Maria Slough_SU_0.3","Maria",321,321,NA,NA
"Chinook","CK-07",2007,713,713,"DU6","Maria Slough_SU_0.3","Maria",713,713,NA,NA
